Name,Sub-Domain,Field,Country,Description,Dataset Link,File Count,Category,Original Format,Original Size (MB),JSONL Size (MB),Total Lines,Cleaned Size (MB),Cleaned Lines,License,Last Updated,Uploaded?,Cleaned?,Verified?,Is Synthetic?,Date Added,Author,Popularity,Tags,Note
9 Real-life RBAC Examples in 2026,Identity Access and Management,Cybersecurity,Global,RBAC helps companies have a granular access approach by supporting permissions at the application level. Example: RBAC can assign set of permissions in writing ...,https://aimultiple.com/rbac-examples,,Website,HTML,,,,,,Free to use,,,,,,15/07/2026,,,,
Radar: a realistic dataset for advancing ransomware detection,Threat Intelligence,Cybersecurity,Global,"Machine learning (ML) has gained attention as a promising tool for detecting ransomware, but the lack of realistic ransomware datasets for training and ...",https://link.springer.com/article/10.1186/s42400-025-00435-9,,Website,HTML,,,,,,CC BY 4.0,,,,,,15/07/2026,,,,
The State in Ransomware: Evidence of Concentration and Targeting ...,Threat Intelligence,Cybersecurity,Global,"This analysis uses an open-source database of 19,128 cases of ransomware ... Several ransomware actors comprise the majority of all ransomware incidents within ...","https://www.acigjournal.com/The-State-in-Ransomware-Evidence-of-Concentration-and-Targeting-Patterns-among-Russian,219041,0,2.html",,Website,HTML,,,,,,CC BY 4.0,,,,,,15/07/2026,,,,
narkiz-tech,Threat Intelligence,Cybersecurity,Global,"Practical SOC operations case studies demonstrating phishing detection, Linux log analysis, brute force attack investigation, and endpoint malware simulation with professional incident reports and real security workflows.",https://github.com/narkiz-tech/soc-incident-response-portfolio,,Repository,,1.62,,,,,MIT,2026-01-23,,,,,15/07/2026,,,,
MicrosoftDocs,Network Security,Cybersecurity,Global,"You can parse Windows Firewall log files by using methods like Windows Event Forwarding (WEF) or forwarding logs to a SIEM product like Azure Sentinel. For details about creating the DCR, see Collect data from VM client with Azure Monitor. This article provides additional details for the Windows Fir",https://github.com/MicrosoftDocs/azure-monitor-docs/blob/main/articles/azure-monitor/vm/data-collection-firewall-logs.md,,Repository,,1288.81,,,,,CC BY 4.0,2026-07-15,,,,,15/07/2026,,,,
FW-Flow: A curated multi-class firewall flow dataset with engineered ...,Network Security,Cybersecurity,Global,"The dataset is derived from the publicly available Internet Firewall Data dataset provided by the UCI Machine Learning Repository (DOI: 10.24432/C5131M). The original data were collected from internet traffic records on a university firewall and comprise 65,532 multi-class labeled flow records. - FW",https://data.mendeley.com/datasets/88p4xh8td9,,Website,HTML,,,,,,CC BY 4.0,,,,,,15/07/2026,,,,
Ngatz,Penetration Testing,Cybersecurity,Global,"Write-ups and scripts used to solve challenges in C2C CTF 2026. Includes technical analysis, exploitation steps, and proof-of-concept scripts.",https://github.com/Ngatz/C2C-CTF-2026,,Repository,,8.14,,,,,MIT,2026-03-26,,,,,15/07/2026,,,,
PhantomOutBreak,Penetration Testing,Cybersecurity,Global,"This repository contains detailed write-ups from various CTF competitions and cybersecurity labs. Each write-up covers the thought process, tools used, and lessons learned from solving each challenge.",https://github.com/PhantomOutBreak/CTF_Write_Ups_Collection,,Repository,,3.13,,,,,MIT,2026-05-23,,,,,15/07/2026,,,,
AYI-NEDJIMI,Penetration Testing,Cybersecurity,Global,"Comprehensive bilingual dataset on EDR/XDR evasion techniques, designed for red team and blue team professionals. This dataset covers offensive techniques, ...",https://huggingface.co/datasets/AYI-NEDJIMI/edr-evasion-en,4,Dataset,,0.08,,,,,Apache-2.0,2026-02-13,,,,,15/07/2026,,,,
Evaluating Endpoint Detection Robustness Against Genetic ...,Security Operations,Cybersecurity,Global,"... dataset, and did not explicitly optimize detection robustness against AV or EDR tools. ... VirusTotal, commercial AVs, Cuckoo sandbox, EDR telemetry. A key ...",https://arxiv.org/html/2607.07191v1,1,Document,PDF,0.19,,,,,CC BY 4.0,2026-07-09,,,,,15/07/2026,,,,
Windows-APT 2025: A Dataset for APT-Inspired Attack Scenarios on ...,Threat Intelligence,Cybersecurity,Global,"The Windows-APTs Dataset 2025 provides a comprehensive collection of 36 simulated Advanced Persistent Threat (APT) scenarios, specifically designed to enhance understanding of tactics employed by Chinese threat actors. Utilizing the Caldera framework for adversary emulation and Wazuh for detailed lo",https://data.mendeley.com/datasets/b8fmtzvpy8,,Website,HTML,,,,,,CC BY 4.0,,,,,,15/07/2026,,,,
Patch and Vulnerability Tracker: Microsoft and Open Source,Vulnerability Management,Cybersecurity,Global,"A free, daily-refreshed dashboard of patch and vulnerability data across Microsoft and open-source software, ranked by real-world exploitation (CISA KEV) and ...",https://senserva.com/patch-tracker.html,,Website,HTML,,,,,,CC BY 4.0,,,,,,15/07/2026,,,,
Data and Context Matter: Towards Generalizing AI-based Software ...,Vulnerability Management,Cybersecurity,Global,"Our model achieves \textbf {6.8\%} improvement in recall on the benchmark BigVul dataset and outperforms others on unseen projects, demonstrating enhanced generalizability. Our results highlight the role of data quality and model selection in the development of robust vulnerability detection systems",https://arxiv.org/abs/2508.16625,1,Document,PDF,0.04,,,,,CC BY 4.0,2025-10-08,,,,,15/07/2026,,,,
LLMs in Code Vulnerability Analysis: A Proof of Concept,Application Security,Cybersecurity,Global,"Diversevul: A new vulnerable source code dataset for deep learning based vulnerability detection. In Proceedings of the 26th Intl. Symposium on Research in Attacks, Intrusions and Defenses, pages 654-668, 2023.",https://arxiv.org/html/2601.08691v1,1,Document,PDF,0.25,,,,,CC BY 4.0,2026-01-14,,,,,15/07/2026,,,,
Enhanced Vulnerable API Detection in JetBrains IDEs and Qodana,Application Security,Cybersecurity,Global,"3 Sept 2025 ... Over the last few months, we have been working on integrating additional data about vulnerable APIs in open-source libraries, provided by the software ...",https://blog.jetbrains.com/idea/2025/09/enhanced-vulnerable-api-detection-in-jetbrains-ides-and-qodana/,,Website,HTML,,,,,,Free to use,,,,,,15/07/2026,,,,
SasanLabs,Application Security,Cybersecurity,Global,"OWASP VulnerableApp Break it. Scan it. Reproduce it. Benchmark against it. Improve it. OWASP VulnerableApp is a modular deliberately vulnerable application designed primarily for validating and benchmarking security scanners through reproducible test scenarios, while also supporting learning and exp",https://github.com/SasanLabs/VulnerableApp,,Repository,,45.51,,,,,Apache-2.0,2026-07-15,,,,,15/07/2026,,,,
Application Security Testing,Application Security,Cybersecurity,Global,Scan every part of your application - from first-party code to open source packages and even your CI/CD toolchain - for vulnerabilities and other security ...,https://www.harness.io/products/application-security-testing,,Website,HTML,,,,,,CC BY 4.0,2026-07-15,,,,,15/07/2026,,,,
Secure Code Generation via Online Reinforcement Learning with ...,Vulnerability Management,Cybersecurity,Global,"Although these datasets are realistic and covers wide range of CWE, they lack the corresponding coding task that would naturally elicit the corresponding vulnerable/patched code, making them unsuitable for direct instruction-following alignment.",https://arxiv.org/pdf/2602.07422,1,Document,PDF,0.93,,,,,CC BY 4.0,2026-02-10,,,,,15/07/2026,,,,
Top 8 Observability Software with Pricing Including Solarwinds,Cloud Security,Cybersecurity,Global,"... data centers and cloud environments including AWS, Azure, and Google Cloud Platform ... Cloud Security Posture Management (CSPM) identifies misconfigurations and ...",https://aimultiple.com/observability-software,,Website,HTML,,,,,,CC BY 4.0,,,,,,15/07/2026,,,,
An Evaluation Study of Hybrid Methods for Multilingual PII Detection,Data Security and Privacy,Cybersecurity,Global,"The detection of Personally Identifiable Information (PII) is critical for privacy compliance but remains challenging in low-resource languages due to linguistic diversity and limited annotated data. We present RECAP, a hybrid framework that combines deterministic regular expressions with context-aw",https://arxiv.org/abs/2510.07551,1,Document,PDF,0.04,,,,,CC BY 4.0,2025-10-10,,,,,15/07/2026,,,,
PII Masking 2M European Release,Data Security and Privacy,Cybersecurity,Global,"The largest open-source collection of synthetic PII datasets for European languages. 2M+ examples across 32 locales and 98 entity types, purpose-built for ...",https://www.ai4privacy.com/datasets/pii-masking-2m-european/,,Website,HTML,,,,,,CC BY 4.0,,,,,,15/07/2026,,,,
A Comparative Study of Light-weight Language Models for PII Masking and ...,Data Security and Privacy,Cybersecurity,Global,"To address these limitations, more recent efforts have focused on creating datasets explicitly designed for PII detection and redaction. The ai4privacy dataset provides large-scale, automatically generated and human-in-the-loop PII annotations across diverse document styles, covering a wide range of",https://arxiv.org/pdf/2512.18608,1,Document,PDF,0.36,,,,,CC BY 4.0,2025-12-23,,,,,15/07/2026,,,,
gantz-ai,Data Security and Privacy,Cybersecurity,Global,"🏆 Fast, multilingual PII detection for privacy compliance (PDPA, PDPD, PDP Law, PIPL). 9 entity types, 13+ languages, CPU-only ONNX Runtime inference. - gantz-ai/pii.engineer",https://github.com/gantz-ai/pii.engineer,,Repository,,24.66,,,,,Apache-2.0,2026-05-05,,,,,15/07/2026,,,,
9 BEST Digital Forensic Tools (2026),Incident Response and Forensics,Cybersecurity,Global,"Digital forensic is a process of preservation, identification, extraction, and documentation of computer evidence which can be used by the court of law. There are many tools that help you to make this",https://www.guru99.com/computer-forensics-tools.html,,Website,HTML,,,,,,Free to use,2026-07-15,,,,,15/07/2026,,,,
11 Best Digital Forensics Tools For Evidence Management,Incident Response and Forensics,Cybersecurity,Global,Rev's breakdown of tools for gathering and organizing digital evidence covers a wide range of cyber forensics software and free digital forensics tools.,https://www.rev.com/blog/digital-forensics-tools,,Website,HTML,,,,,,Free to use,2026-07-15,,,,,15/07/2026,,,,
"""ForensicsData: A Digital Forensics Dataset for Large Language ...",Incident Response and Forensics,Cybersecurity,Global,Bibliographic details on ForensicsData: A Digital Forensics Dataset for Large Language Models.,https://dblp.org/rec/journals/corr/abs-2509-05331,1,Website,HTML,0.01,,,,,CC0-1.0,,,,,,15/07/2026,,,,
20 Must-Know Digital Forensic Tools Every Investigator Should Use,Incident Response and Forensics,Cybersecurity,Global,"Explore the ultimate list of 20 digital forensic tools including EnCase, Autopsy, Cellebrite, and Wireshark. Essential for computer, mobile, and network investigations.",https://www.cyberforensicacademy.com/blog/20-must-know-digital-forensic-tools-every-investigator-should-use,,Website,HTML,,,,,,Free for commercial use,,,,,,15/07/2026,,,,
Dataset-centric evaluation of federated intrusion detection ...,Network Security,Cybersecurity,Global,"IoT/IIoT intrusion datasets There is a long history of public datasets for network intrusion detection, but many widely used ones (KDD'99, NSL-KDD, UNSW-NB15, CIC-IDS2017, etc.) have limitations ...",https://www.nature.com/articles/s41598-025-32567-w,,Website,HTML,,,,,,CC BY 4.0,,,,,,15/07/2026,,,,
[2511.12743] An Evaluation Framework for Network IDS/IPS Datasets ...,Network Security,Cybersecurity,Global,"The performance of Machine Learning (ML) and Deep Learning (DL)-based Intrusion Detection and Prevention Systems (IDS/IPS) is critically dependent on the relevance and quality of the datasets used for training and evaluation. However, current AI model evaluation practices for developing IDS/IPS focu",https://arxiv.org/abs/2511.12743,1,Document,PDF,0.04,,,,,CC BY 4.0,2025-11-18,,,,,15/07/2026,,,,
12 Best Penetration Testing Tools for 2026 (Paid & Free),Penetration Testing,Cybersecurity,Global,"Find the best penetration testing tools to detect vulnerabilities, strengthen security, and protect your network from cyber threats.",https://www.comparitech.com/net-admin/best-penetration-testing-tools/,,Website,HTML,,,,,,Free to use,2026-07-14,,,,,15/07/2026,,,,
TS-LIQ/CPTU/18 Database,Penetration Testing,Cybersecurity,Global,"Categories. Penetration Testing, Liquefaction, Earthquake Hazard, Geotechnical Site Investigation ... Dataset. http://140.112.12.21/issmge/tc304.htm. is ...",https://data.mendeley.com/datasets/4k36nfnypd,,Website,HTML,,,,,,CC BY 4.0,,,,,,15/07/2026,,,,
Albeyuk,Security Operations,Cybersecurity,Global,"This repository demonstrates a simulated Security Operations Centre (SOC) alert investigation. The project shows how an analyst might triage, analyse, and respond to suspicious activity using structured investigation techniques aligned with real SOC workflows. The purpose of this walkthrough is to d",https://github.com/Albeyuk/SOC-Alert-Investigation-Walkthrough,,Repository,,0.00,,,,,MIT,2026-03-26,,,,,15/07/2026,,,,
CORTEX: Collaborative LLM Agents for High-Stakes Alert Triage,Security Operations,Cybersecurity,Global,"To support training and evaluation, we release a dataset of fine-grained SOC investigations from production environments, capturing step-by-step analyst actions and linked tool outputs. Across diverse enterprise scenarios, CORTEX substantially reduces false positives and improves investigation quali",https://arxiv.org/abs/2510.00311,1,Document,PDF,0.04,,,,,CC BY 4.0,2025-10-02,,,,,15/07/2026,,,,
Security Operations Center(SOC),Security Operations,Cybersecurity,Global,"A unified SOC platform that integrates security data, reduces alert noise, and automates response workflows ... Automated alert triage to reduce analyst workload ...",https://www.cyberserval.com/products/security-operations-center,,Website,HTML,,,,,,Free to use,,,,,,15/07/2026,,,,
romainmarcoux,Threat Intelligence,Cybersecurity,Global,"🇬🇧 Introduction Aggregation of lists of malicious domains (phishing) that can be integrated into firewalls (Fortinet FortiGate and other vendors) and DNS servers. To avoid false positives, the top 1M domains (Cisco Umbrella and CloudFlare) of the most visited websites have been removed.",https://github.com/romainmarcoux/malicious-domains,,Repository,,2.54,,,,,MIT,2026-07-15,,,,,15/07/2026,,,,
BadDomains: Early Detection of Phishing Domains Registration,Threat Intelligence,Cybersecurity,Global,"An analysis of .pl phishing domain registry data, combined with the authors' CSIRT operational experience, helped in the design of new features. It also ...",https://pmc.ncbi.nlm.nih.gov/articles/PMC12900114/,,Website,HTML,,,,,,CC BY 4.0,,,,,,15/07/2026,,,,
Phishing-Database,Threat Intelligence,Cybersecurity,Global,"Phishing Domains, urls websites and threats database. We use the PyFunceble testing tool to validate the status of all known Phishing domains and provide stats to reveal how many unique domains use...",https://github.com/Phishing-Database/Phishing.Database/pulls,,Repository,,1588.72,,,,,MIT,2026-07-15,,,,,15/07/2026,,,,
SeRe: A Security-Related Code Review Dataset Aligned with Real-World ...,Application Security,Cybersecurity,Global,"Existing datasets and studies primarily focus on general-purpose code review comments, either lacking security-specific annotations or being too limited in scale to support large-scale research. To bridge this gap, we introduce SeRe, a security-related code review dataset, constructed using an activ",https://arxiv.org/html/2601.01042v1,1,Document,PDF,0.15,,,,,CC BY 4.0,2026-01-06,,,,,15/07/2026,,,,
18 Top Data Loss Prevention (DLP) Software,Data Security and Privacy,Cybersecurity,Global,"Data Loss Prevention (DLP) software helps protect sensitive data, including financial data, personally identifiable information (PII), protected health information, and intellectual property.",https://aimultiple.com/dlp-software,,Website,HTML,,,,,,CC BY 4.0,,,,,,15/07/2026,,,,
Download the dataset,"Governance, Risk and Compliance",Cybersecurity,Global,Flat spine: one row per risk and sub-risk. Opens directly in Excel and imports cleanly into GRC tooling. Download CSV. JSON. deployer-ai-risk-register.json.,https://www.airiskdeployer.org/download/,,Website,HTML,,,,,,CC BY 4.0,,,,,,15/07/2026,,,,
"Top 6 Open-Source Log Analysis Tools: Wazuh, Graylog & More",Identity Access and Management,Cybersecurity,Global,Data Security Identity & Access Management Security Tools Threat Detection ... A single syslog-ng instance can route authentication failures to a security ...,https://aimultiple.com/open-source-log-analysis-tools,1,Website,HTML,0.07,,,,,Free to use,,,,,,15/07/2026,,,,
HIED-AuthLog: A Higher Education Institution Authentication Log Dataset ...,Identity Access and Management,Cybersecurity,Global,"HIED-AuthLog is a desensitized authentication-log dataset for anomaly detection research, accompanying the paper ""DTA-Detection: A Dual-Threshold Ensemble Framework for Real-Time Anomaly Detection in Authentication Logs"" (Journal of Information Security and Applications, under review).Temporal cover",https://data.mendeley.com/datasets/27svcwxtdj,,Website,HTML,,,,,,CC BY 4.0,,,,,,15/07/2026,,,,
Protecting Cookies with Device Bound Session Credentials,Identity Access and Management,Cybersecurity,Global,"Following our April 2024 announcement, Device Bound Session Credentials (DBSC) is now entering public availability for Windows users on Chrome 146, and expanding to macOS in an upcoming Chrome release. This project represents a significant step forward in our ongoing efforts to combat session theft,",https://blog.google/security/protecting-cookies-with-device-bound-session-credentials/,,Website,HTML,,,,,,Free to use,,,,,,15/07/2026,,,,
Playbook Power-Up,Incident Response and Forensics,Cybersecurity,Global,"This presentation introduces a modular framework for redesigning and maintaining incident response playbooks, aiming to make updates faster, easier, and less error-prone. Drawing on SOAR technology concepts and research from Georgetown University, it shows how this approach can cut update time by up",https://www.sans.org/presentations/playbook-power-up,,Website,HTML,,,,,,Free to use,,,,,,15/07/2026,,,,
Data Incident Response Playbook (Template),Incident Response and Forensics,Cybersecurity,Global,"A data incident response playbook is a written, repeatable runbook that takes a data team from first alert to root cause and resolution in minutes. It defines severity tiers, on-call ownership, communication channels, triage steps, and post-incident review — the same discipline software SRE teams us",https://dataworkers.io/resources/data-incident-response-playbook/,,Website,HTML,,,,,,Apache-2.0,,,,,,15/07/2026,,,,
ortix-mila,Incident Response and Forensics,Cybersecurity,Global,Welcome to the SOC Incident Response Playbook repository! This project provides a collection of standardized playbooks to help Security Operations Center (SOC) analysts and incident responders handle common security threats effectively and consistently.,https://github.com/ortix-mila/soc-incident-response-playbooks,,Repository,,0.03,,,,,MIT,2025-08-19,,,,,15/07/2026,,,,
Frontiers,Network Security,Cybersecurity,Global,") generally provide two main types of data: (1) raw packets stored in PCAP files with corresponding labels and (2) tabular data representing network flows derived from these PCAP files, typically in CSV format (see 1 in Figure 2).",https://www.frontiersin.org/journals/artificial-intelligence/articles/10.3389/frai.2025.1593944/full,,Website,HTML,,,,,,CC BY 4.0,,,,,,15/07/2026,,,,
"PCAP: Packet Capture, what it is & what you need to know",Network Security,Cybersecurity,Global,"What is PCAP? PCAP, which stands for Packet Capture, is a file format widely used in the field of networking to store data captured from network traffic. It is an essential tool for network analysis, troubleshooting, and security investigations, providing detailed insights into the behavior of a net",https://www.comparitech.com/net-admin/pcap-guide/,,Website,HTML,,,,,,CC BY 4.0,2026-07-14,,,,,15/07/2026,,,,
"UNSW IoT traffic data with packets, flows, and protocols",Network Security,Cybersecurity,Global,"The UNSW IoT traffic data (UNSW-IoTraffic) is a dataset comprising (a) raw network packet traces with full headers and payload, (b) flow-level metadata summarizing fine-grained bidirectional activity behaviors, and (c) protocol parameters describing network protocol characteristics. The dataset also",https://datadryad.org/dataset/doi:10.5061/dryad.w0vt4b94b,,Website,HTML,,,,,,CC0-1.0,,,,,,15/07/2026,,,,
5 Best Free Open-Source SIEM Tools for 2025,Security Operations,Cybersecurity,Global,Choosing the right open-source SIEM solution for your business can be challenging. We present the best Open-source SIEM solutions.,https://www.comparitech.com/net-admin/open-source-siem-tools/,,Website,HTML,,,,,,Free to use,2026-07-14,,,,,15/07/2026,,,,
Automated Malware Family Classification using Weighted Hierarchical ...,Threat Intelligence,Cybersecurity,Global,"Abstract Malware family classification remains a challenging task in automated malware analysis, particularly in real-world settings characterized by obfuscation, packing, and rapidly evolving threats. Existing machine learning and deep learning approaches typically depend on labeled datasets, handc",https://arxiv.org/html/2604.02490v1,1,Document,PDF,0.31,,,,,CC BY 4.0,2026-04-06,,,,,15/07/2026,,,,
CyberSaR-KAUST,Threat Intelligence,Cybersecurity,Global,About Ransomware detection dataset with function call graphs (FCG) for real-time malware family classification using deep learning and machine learning.,https://github.com/CyberSaR-KAUST/Ransomware-Malware-Family-Detection-Dataset,,Repository,,4.03,,,,,MIT,2026-03-22,,,,,15/07/2026,,,,
tuandunghcmut,Vulnerability Management,Cybersecurity,Global,"Dataset Summary · Total Examples: 18,059 · Total Splits: 10 datasets (each as a separate split) · Task Types: 5 (Knowledge MCQ, CVE→CWE Mapping, CVSS Prediction, ...",https://huggingface.co/datasets/tuandunghcmut/combine-llm-security-benchmark,11,Dataset,,7.76,,,,,Apache-2.0,2025-10-05,,,,,15/07/2026,,,,
"KEVology: An analysis of CISA KEV exploits, scores, & timelines",Vulnerability Management,Cybersecurity,Global,"Measurement bias: As discussed throughout the paper, scoring systems like CVSS ... Nothing in this paper relies on proprietary scoring or unpublished datasets ...",https://www.runzero.com/resources/kevology/,1,Website,HTML,0.48,,,,,Free to use,2026-07-08,,,,,15/07/2026,,,,
What is Common Vulnerability Scoring System (CVSS)?,Vulnerability Management,Cybersecurity,Global,An overview of Common Vulnerability Scoring System The seriousness of a security weakness is relegated a number worth (0-10) by the Common Vulnerability Scoring System. Data security groups habitually use CVSS evaluations to examine weaknesses and focus on weakness remediation as a feature of a weak,https://www.wallarm.com/what/what-is-cvss,,Website,HTML,,,,,,Free to use,2026-07-15,,,,,15/07/2026,,,,
11 Best SAST Tools in 2026,Application Security,Cybersecurity,Global,"What is SAST and why it matters Static Application Security Testing (SAST) is the practice of analyzing source code for security vulnerabilities without executing the application. SAST tools parse your code into an abstract syntax tree, apply pattern matching and dataflow analysis rules, and report ",https://dev.to/rahulxsingh/11-best-sast-tools-in-2026-static-application-security-testing-compared-4ajo,1,Website,HTML,0.04,,,,,Free for commercial use,,,,,,15/07/2026,,,,
11 Best SAST Tools in 2026,Application Security,Cybersecurity,Global,"A SAST (Static Application Security Testing) tool analyzes source code, bytecode, or binary code without executing the application to find security vulnerabilities. SAST tools scan your codebase for patterns that indicate injection flaws, hardcoded credentials, insecure data flows, cryptographic wea",https://aicodereview.cc/blog/best-sast-tools/,,Website,HTML,,,,,,Free for commercial use,,,,,,15/07/2026,,,,
"More Parties, More Risks, More Opportunity? Evolving Governance ...","Governance, Risk and Compliance",Cybersecurity,Global,"The NIST Cybersecurity Framework is a voluntary and scalable cybersecurity risk guidance. The updated CSF 2.0 includes “govern” as a key function, which embeds ...",https://fpf.org/blog/more-parties-more-risks-more-opportunity-evolving-governance-to-support-cyber-resilience-amidst-evolving-policy-and-technological-change/,,Website,HTML,,,,,,CC BY 4.0,,,,,,15/07/2026,,,,
trailofbits,Incident Response and Forensics,Cybersecurity,Global,"Zero-dependency Linux memory forensics, leveraging kernel-embedded BTF and kallsyms for type-aware memory analysis without external debug info. - trailofbits/mquire",https://github.com/trailofbits/mquire,,Repository,,3.64,,,,,Apache-2.0,2026-07-09,,,,,15/07/2026,,,,
A Review of Advancements in Deep Learning Approaches for ...,Network Security,Cybersecurity,Global,This survey provides a detailed overview of machine learning and deep learning (DL) methods applied to cybersecurity and intrusion detection systems (IDS).,https://www.techscience.com/jai/v8n1/67353/html,,Website,HTML,,,,,,CC BY 4.0,,,,,,15/07/2026,,,,
"A transfer-aware, deployment-oriented evaluation framework ...",Network Security,Cybersecurity,Global,"Machine learning-based Intrusion Detection Systems (IDS) often report high detection accuracy under controlled, single-dataset evaluation, yet experience ...",https://pmc.ncbi.nlm.nih.gov/articles/PMC13061228/,,Website,HTML,,,,,,CC BY 4.0,,,,,,15/07/2026,,,,
Random Forest-Based Intrusion Detection System with Real-Time ...,Network Security,Cybersecurity,Global,The dataset is taken as CICIDS2017 that includes the realistic normal and attack traffic that possesses various flow- based characteristics. It has different ...,https://ijsra.net/sites/default/files/fulltext_pdf/IJSRA-2026-0409.pdf,1,Document,PDF,0.58,,,,,CC BY 4.0,2026-03-03,,,,,15/07/2026,,,,
Designing An Intelligent Intrusion Detection System (Ids) Using ...,Network Security,Cybersecurity,Global,"The suggested methodology is tested on large-scale, heterogeneous network traffic data which consists of millions of records constituting various types of ...",https://xlescience.org/index.php/IJASIS/article/view/1435,,Website,HTML,,,,,,CC BY 4.0,,,,,,15/07/2026,,,,
[2511.03799] Temporal Analysis Framework for Intrusion Detection ...,Network Security,Cybersecurity,Global,"Our analysis further exposes systematic bias in widely used datasets, which emphasize late-stage attacks and thus limit progress toward early detection. This framework provides essential groundwork for developing IDS capable of anticipating rather than merely reacting to cyber threats, advancing the",https://arxiv.org/abs/2511.03799,1,Document,PDF,0.04,,,,,CC BY 4.0,2025-11-07,,,,,15/07/2026,,,,
exploitintel,Penetration Testing,Cybersecurity,Global,"eip-search is the terminal client for the Exploit Intelligence Platform. It replaces searchsploit with a tool that understands risk — combining CVSS, EPSS, KEV, and exploit quality into every search result. Installed as a Python package or native APT package; works online against the live API or off",https://github.com/exploitintel/eip-search,,Repository,,1.45,,,,,MIT,2026-07-13,,,,,15/07/2026,,,,
ra1nb0rn,Penetration Testing,Cybersecurity,Global,"To achieve this, it utilizes a locally built database containing various data sources about products, vulnerabilities, exploits, software recency and more.",https://github.com/ra1nb0rn/search_vulns,,Repository,,3.12,,,,,MIT,2026-07-13,,,,,15/07/2026,,,,
Explodox: unleashing exploit-DB data for automated exploits ...,Penetration Testing,Cybersecurity,Global,"ExploDox makes three primary contributions: (1) an architectural approach that combines knowledge graphs with containerization to automate exploit environments, (2) an empirical analysis of 3,346 Python exploits from the well-known Exploit-DB database, revealing dependency patterns and failure modes",https://link.springer.com/article/10.1007/s11416-026-00617-0,,Website,HTML,,,,,,CC BY 4.0,,,,,,15/07/2026,,,,
vulncheck-oss,Penetration Testing,Cybersecurity,Global,"Package exploit is the entrypoint for exploits developed with the go-exploit framework. The exploit package invokes command line parsing, handles c2, and calls into the three stages of exploitation (as defined by go-exploit).",https://pkg.go.dev/github.com/vulncheck-oss/go-exploit,,Website,HTML,2.00,,,,,Apache-2.0,2026-07-14,,,,,15/07/2026,,,,
Understand rule replays and MTTD,Security Operations,Cybersecurity,Global,"This document explains how rule replays (also called cleanup runs) handle late-arriving data and context updates, and how these replays affect the Mean Time To Detect (MTTD) metrics. Rule replays Google SecOps processes large volumes of security data. To ensure accurate detections for rules that dep",https://docs.cloud.google.com/chronicle/docs/detection/rule-replays,1,Website,HTML,0.42,,,,,CC BY 4.0,2026-07-13,,,,,15/07/2026,,,,
Apply YARA-L 2.0 rule best practices,Threat Intelligence,Cybersecurity,Global,"This document describes Google Security Operations's recommended best practices for writing rules in YARA-L 2.0. Filter out zero values Fields might be automatically omitted in the events you run your rules against. When fields are omitted, they default to their zero values. For example, an omitted ",https://docs.cloud.google.com/chronicle/docs/detection/yara-l-best-practices,1,Website,HTML,0.42,,,,,CC BY 4.0,2026-07-13,,,,,15/07/2026,,,,
Transition from SPL to YARA-L 2.0,Threat Intelligence,Cybersecurity,Global,"Every YARA-L query or rule is segmented into distinct, named sections, which dictate the query's behavior. This structure is what enables multistage analysis ...",https://docs.cloud.google.com/chronicle/docs/yara-l/transition_spl_yaral,1,Website,HTML,1.16,,,,,CC BY 4.0,2026-07-13,,,,,15/07/2026,,,,
VirusTotal,Threat Intelligence,Cybersecurity,Global,The pattern matching swiss knife. Contribute to VirusTotal/yara development by creating an account on GitHub.,https://github.com/VirusTotal/yara/releases,,Repository,,23.83,,,,,BSD-3-Clause,2026-07-14,,,,,15/07/2026,,,,
The Top 10 Vulnerability Scanners (Most Popular Scanners In 2026),Vulnerability Management,Cybersecurity,Global,"In this article, we will review 15 network scanning tools that are some of the best vulnerability scanners available today.",https://www.softwaretestinghelp.com/top-vulnerability-scanners/,,Website,HTML,,,,,,Free to use,2026-07-15,,,,,15/07/2026,,,,
Vulnerability Assessment Report: A Comprehensive Guide,Vulnerability Management,Cybersecurity,Global,A vulnerability assessment report is key to understanding your security risks. Get a clear overview of its importance & what it covers in this complete guide.,https://qualysec.com/vulnerability-assessment-reports-a-complete-guide/,,Website,HTML,,,,,,Free to use,,,,,,15/07/2026,,,,
AI Code Security Study: 6 LLMs vs OWASP Top 10,Application Security,Cybersecurity,Global,I tested 6 LLMs via OpenRouter API with 87 prompts against OWASP Top 10. 25.7% of AI-generated code had confirmed vulnerabilities.,https://appsecsanta.com/research/ai-code-security-study-2026,,Website,HTML,,,,,,CC BY 4.0,,,,,,15/07/2026,,,,
MicrosoftDocs,Cloud Security,Cybersecurity,Global,"This article contains security best practices to use when you're designing, deploying, and managing your cloud solutions by using Azure. These best practices come from our experience with Azure security and the experiences of customers like you.",https://github.com/MicrosoftDocs/azure-docs/blob/main/articles/security/fundamentals/best-practices-and-patterns.md,,Repository,,26412.93,,,,,CC BY 4.0,2026-07-15,,,,,15/07/2026,,,,
Service agents,Identity Access and Management,Cybersecurity,Global,"If you manage your allow policies with a declarative framework or a policies-as-code system, you might want to create and grant roles to a service agent before ...",https://docs.cloud.google.com/iam/docs/service-agents,1,Website,HTML,0.56,,,,,CC BY 4.0,2026-07-10,,,,,15/07/2026,,,,
