Name,Sub-Domain,Description,Dataset Link,File Count,Category,Original Format,Original Size (MB),JSONL Size (MB),Total Lines,Cleaned Size (MB),Cleaned Lines,License,Last Updated,Uploaded?,Cleaned?,Verified?,Is Synthetic?,Date Added,Note,Author,Popularity,Tags
guardrails-ai,Data Security and Privacy,This validator is designed to detect and anonymize Personally Identifiable Information (PII) in LLM-generated text using state-of-the-art methods. Currently a combination of Presidio and GLiNER yields the highest performing results. It supports various entity types and can be configured to focus on ,https://github.com/guardrails-ai/guardrails_pii,,Repository,,0.04,,,,,Apache-2.0,2026-06-13,,,,,15/07/2026,,guardrails-ai,22,
data-privacy-stack,Data Security and Privacy,"An open-source framework for detecting, redacting, masking, and anonymizing sensitive data (PII) across text, images, and structured data. Supports NLP, pattern matching, and customizable pipelines. - data-privacy-stack/presidio",https://github.com/data-privacy-stack/presidio,,Repository,,337.38,,,,,MIT,2026-07-14,,,,,15/07/2026,,data-privacy-stack,10001,"anonymization, data-anonymization, data-masking, data-obfuscation, data-privacy, data-redaction, de-identification, guardrails"
SecRepo,Threat Intelligence,"SecRepo.com - Samples of Security Related Data Community-curated resources for network, malware, system, and threat intelligence research.",https://www.secrepo.com/,1,Website,HTML,0.01,,,,,CC BY 4.0,2026-07-15,,,,,15/07/2026,,secrepo.com,,
ReposVul: A Repository-Level High-Quality Vulnerability Dataset,Application Security,"To address the above limitations, in this paper, we propose an automated data collection framework and construct the first repository-level high-quality vulnerability dataset named ReposVul.",https://arxiv.org/abs/2401.13169,1,Document,PDF,0.04,,,,,CC BY 4.0,2024-02-09,,,,,15/07/2026,,arxiv.org,,
ReposVul: A Repository-Level High-Quality Vulnerability Dataset,Vulnerability Management,"ReposVul is the first repository-level vulnerability dataset, including large-scale CVE entries representing 236 CWE types across 1,491 projects and four programming languages with detailed multi-granularity patch information.",https://arxiv.org/pdf/2401.13169,1,Document,PDF,2.74,,,,,CC BY 4.0,2024-02-09,,,,,15/07/2026,,arxiv.org,,
anabioticsoul,Cloud Security,"This datasets consist of real-world misconfiguration cases, papers for misconfiguration troubleshooting, and six reproduced scenarios in Docker.",https://github.com/anabioticsoul/misconfiguration_datasets,,Repository,,6.10,,,,,MIT,2026-06-30,,,,,15/07/2026,,anabioticsoul,2,
CUHK-ARISE,Application Security,"The dataset consists of the source code of 1.27 million functions mined from open source software, labelled by static analysis for potential vulnerabilities.",https://github.com/CUHK-ARISE/ml4code-dataset,,Repository,,0.04,,,,,MIT,2021-10-08,,,,,15/07/2026,,CUHK-ARISE,65,
DLVulDet,Application Security,Repository for PrimeVul Vulnerability Detection Dataset - DLVulDet/PrimeVul,https://github.com/DLVulDet/PrimeVul,,Repository,,0.08,,,,,MIT,2024-09-07,,,,,15/07/2026,,DLVulDet,253,
huggingface,Cryptography,You can use 🤗 Datasets to load datasets based on versioned git repositories maintained by the dataset authors.,https://github.com/huggingface/datasets,,Repository,,113.29,,,,,Apache-2.0,2026-07-09,,,,,15/07/2026,,huggingface,21719,"ai, artificial-intelligence, computer-vision, dataset-hub, datasets, deep-learning, huggingface, llm"
raye22,Data Security and Privacy,"Lastly, to validate detection accuracy, we manually coded 50 randomly selected conversations (288 turns) that were flagged as containing PII. We observe that the Presidio is rather conservative. Original platform-specific user IDs and usernames are not stored or released · Analyses are conducted on ",https://github.com/raye22/ShareChat,,Repository,,0.36,,,,,Apache-2.0,2026-05-07,,,,,15/07/2026,,raye22,6,
Towards Contextual Sensitive Data Detection,Data Security and Privacy,"Code and datasets can be found at https://github.com/trl-lab/sensitive-data-detection. The core components of the mechanisms are type detection, reflection, and retrieval. Further details of the implementation of these components per mechanism are provided below.",https://arxiv.org/html/2512.04120,1,Document,PDF,0.18,,,,,CC BY 4.0,2026-03-16,,,,,15/07/2026,,arxiv.org,,
AICrypto: Evaluating Cryptography Capabilities of Large Language Models,Cryptography,"However, our analysis reveals that they still lack a deep understanding of abstract mathematical concepts and struggle with tasks that require multi-step reasoning and dynamic analysis. We hope this work could provide insights for future research on LLMs in cryptographic applications. Our code and d",https://arxiv.org/html/2507.09580v6,1,Document,PDF,1.57,,,,,arXiv (non-exclusive),2026-05-28,,,,,15/07/2026,,arxiv.org,,
CyberLLMInstruct: A Pseudo-malicious Dataset Revealing Safety-performance Trade-,Application Security,These developments highlight the critical need for datasets that prepare LLMs to handle both defensive applications and potential misuse scenarios. This paper introduces CyberLLMInstruct111https://github.com/Adelsamir01/CyberLLMInstruct – This repository contains all code and materials to reproduce ,https://arxiv.org/html/2503.09334v3,1,Document,PDF,0.19,,,,,arXiv (non-exclusive),2025-09-18,,,,,15/07/2026,,arxiv.org,,
HPLT 3.0: Very Large-Scale Multilingual Resources for LLMs and MT Mono- and Bi-l,Data Security and Privacy,"Finally, for a broader protection ... (PII)242424https://github.com/mmanteli/multilingual-PII-tool, for example, email addresses, phone numbers, or IP addresses. When used in LLM training, for example, it is expected that PII matches would either be anonymized (masked out) or entire documents would ",https://arxiv.org/html/2511.01066v3,1,Document,PDF,0.74,,,,,CC BY 4.0,2026-04-21,,,,,15/07/2026,,arxiv.org,,
Analyzing GitHub Issues and Pull Requests in nf-core Pipelines: Insights into nf,Cryptography,"Researchers apply algorithms like LDA, BERTopic, and others to categorize the vast amount of unstructured text data on GitHub to understand challenges in various domains, such as QSE (Li et al., 2021), cryptography APIs (Nadi et al., 2016), open-source AI repositories (Yang et al., 2023), deep ...",https://arxiv.org/html/2601.09612,1,Document,PDF,0.24,,,,,CC BY 4.0,2026-02-12,,,,,15/07/2026,,arxiv.org,,
[2605.09973] GLiNER2-PII: A Multilingual Model for Personally Identifiable Infor,Data Security and Privacy,"To address this challenge, we construct a multilingual synthetic corpus of 4,910 annotated texts using a constraint-driven generation pipeline that produces diverse, realistic examples across languages, domains, formats, and entity distributions. On the challenging SPY benchmark, GLiNER2-PII achieve",https://arxiv.org/abs/2605.09973,1,Document,PDF,0.04,,,,,CC BY 4.0,2026-05-12,,,,,15/07/2026,,arxiv.org,,
